zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
00000,0.0,0.0,0.0,0.0,0.0,385.0,385.0,0.0
00755,0.0,91.0,0.0,0.0,0.0,0.0,91.0,1.0
00818,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
00853,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
07092,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
07095,0.0,0.0,0.0,0.0,0.0,772.0,772.0,0.0
08011,0.0,0.0,0.0,0.0,0.0,2800.0,2800.0,0.0
10001,0.0,566.0,0.0,0.0,0.0,0.0,566.0,1.0
27834,0.0,0.0,0.0,0.0,0.0,210.0,210.0,0.0
28732,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
30218,0.0,250.0,0.0,0.0,0.0,0.0,250.0,1.0
31703,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
32162,0.0,0.0,0.0,0.0,0.0,650.0,650.0,0.0
32955,0.0,0.0,0.0,0.0,0.0,475.0,475.0,0.0
33624,0.0,0.0,0.0,0.0,0.0,379.0,379.0,0.0
33928,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
36117,0.0,0.0,0.0,0.0,0.0,5720.0,5720.0,0.0
36360,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0
42420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58504,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0
60115,0.0,559.0,0.0,0.0,0.0,0.0,559.0,1.0
78717,0.0,0.0,0.0,0.0,0.0,813.0,813.0,0.0
80001,0.0,1102.0,0.0,0.0,0.0,761.0,1863.0,0.5915190552871712
80002,0.0,34043.0,0.0,0.0,0.0,23674.0,57717.0,0.5898262210440598
80003,0.0,28820.0,0.0,0.0,0.0,4922.0,33742.0,0.8541283859877897
80004,0.0,59658.0,0.0,0.0,500.0,13251.0,73409.0,0.8126796441853179
80005,0.0,62881.0,0.0,0.0,250.0,19395.0,82526.0,0.7619538084967162
80006,0.0,180.0,0.0,0.0,0.0,0.0,180.0,1.0
80007,0.0,48751.0,0.0,0.0,0.0,19863.0,68614.0,0.7105109744367039
80010,0.0,14877.0,0.0,0.0,0.0,0.0,14877.0,1.0
80011,0.0,22939.0,0.0,0.0,86.0,16744.0,39769.0,0.576806054967437
80012,0.0,20955.0,0.0,0.0,0.0,12400.0,33355.0,0.6282416429320942
80013,0.0,47653.0,0.0,0.0,810.0,10406.0,58869.0,0.809475275611952
80014,0.0,70474.0,0.0,0.0,0.0,6805.0,77279.0,0.9119424423193881
80015,0.0,66821.0,0.0,0.0,0.0,22215.0,89036.0,0.7504941821285772
80016,0.0,103274.0,0.0,0.0,568.0,59286.0,163128.0,0.6330856750527193
80017,0.0,39873.0,0.0,0.0,0.0,6986.0,46859.0,0.8509144454640517
80018,0.0,4904.0,0.0,0.0,0.0,524.0,5428.0,0.9034635224760501
80019,0.0,960.0,0.0,0.0,0.0,170.0,1130.0,0.8495575221238938
80020,0.0,78778.0,0.0,0.0,200.0,36810.0,115788.0,0.6803641137250838
